"EMPLOYEE_ID";"START_DATE";"END_DATE";"JOB_ID";"DEPARTMENT_ID"
102.0;"1993-01-13";"1998-07-24";"IT_PROG";60.0
101.0;"1989-09-21";"1993-10-27";"AC_ACCOUNT";110.0
101.0;"1993-10-28";"1997-03-15";"AC_MGR";110.0
201.0;"1996-02-17";"1999-12-19";"MK_REP";20.0
114.0;"1998-03-24";"1999-12-31";"ST_CLERK";50.0
122.0;"1999-01-01";"1999-12-31";"ST_CLERK";50.0
200.0;"1987-09-17";"1993-06-17";"AD_ASST";90.0
176.0;"1998-03-24";"1998-12-31";"SA_REP";80.0
176.0;"1999-01-01";"1999-12-31";"SA_MAN";80.0
200.0;"1994-07-01";"1998-12-31";"AC_ACCOUNT";90.0
0.0;"0000-00-00";"0000-00-00";"";0.0
